combined_rank,gene_name,rank_s1,stream1_score,rank_s2,stream2_score,combined_score,evidence
1,Ttr,201.0,,1.0,2.181358997246514,0.5024875621890548,kalish_only
2,Neurog1,1.0,0.0886851952421895,201.0,,0.5024875621890548,canales_only
3,Ptgds,201.0,,2.0,2.1446865019894075,0.2524875621890547,kalish_only
4,Olig3,2.0,0.0880916991936017,201.0,,0.2524875621890547,canales_only
5,Mrc1,201.0,,3.0,1.329530507230362,0.16915422885572137,kalish_only
6,Adm,3.0,0.0874193371273915,201.0,,0.16915422885572137,canales_only
7,Cldn11,201.0,,4.0,1.255336535571303,0.12748756218905472,kalish_only
8,Ddit4,4.0,0.0846647719074995,201.0,,0.12748756218905472,canales_only
9,Slc16a3,5.0,0.0792981986717339,201.0,,0.10248756218905473,canales_only
10,Erdr1,201.0,,5.0,1.1659867236434245,0.10248756218905473,kalish_only
11,Fgf15,6.0,0.0668395088850279,65.0,0.5526059076470969,0.09102564102564102,both_streams
12,Lyve1,201.0,,6.0,1.1108556616593983,0.08582089552238806,kalish_only
13,Col3a1,18.0,0.0457549957607627,10.0,0.9756864655880292,0.07777777777777778,both_streams
14,Col1a1,13.0,0.0531987583407232,13.0,0.9252476803309928,0.07692307692307693,both_streams
15,A330033J07Rik,7.0,0.0626408861363442,201.0,,0.07391613361762615,canales_only
16,Dcn,201.0,,7.0,1.070375453217894,0.07391613361762615,kalish_only
17,Hk2,8.0,0.0618388432524944,201.0,,0.06498756218905473,canales_only
18,Slc22a6,201.0,,8.0,1.0192025386271075,0.06498756218905473,kalish_only
19,Prdm12,9.0,0.0601811145590669,201.0,,0.05804311774461028,canales_only
20,Slc6a13,201.0,,9.0,1.0155386236620405,0.05804311774461028,kalish_only
21,Met,10.0,0.0577941116098912,201.0,,0.05248756218905473,canales_only
22,Mid1,201.0,,11.0,0.9628141371411556,0.047942107643600185,kalish_only
23,Matn4,11.0,0.0563592068731544,201.0,,0.047942107643600185,canales_only
24,Neurod4,12.0,0.0546906348376285,201.0,,0.04415422885572139,canales_only
25,Col1a2,201.0,,12.0,0.93974773547871,0.04415422885572139,kalish_only
26,Aldh1a2,201.0,,14.0,0.8500246555806936,0.03820184790334044,kalish_only
27,Zic4,14.0,0.0514961926849682,201.0,,0.03820184790334044,canales_only
28,F13a1,201.0,,15.0,0.8421055778665595,0.03582089552238806,kalish_only
29,2810417H13Rik,15.0,0.0495331665243578,201.0,,0.03582089552238806,canales_only
30,Tcf7l2,72.0,0.0321702174018969,18.0,0.7793391495902535,0.034722222222222224,both_streams
31,Mis18bp1,16.0,0.0470849912762894,201.0,,0.03373756218905473,canales_only
32,Gm26870,201.0,,16.0,0.8110415998525956,0.03373756218905473,kalish_only
33,E2f2,17.0,0.0459117262123289,201.0,,0.03189932689493708,canales_only
34,Bmp4,201.0,,17.0,0.7916808936457048,0.03189932689493708,kalish_only
35,Otx2,26.0,0.0434239098485638,50.0,0.5851781148869057,0.029230769230769234,both_streams
36,Lum,201.0,,19.0,0.7784455173601013,0.028803351662738935,kalish_only
37,Mcm10,19.0,0.0453531319620277,201.0,,0.028803351662738935,canales_only
38,Slc2a1,20.0,0.0451554674690431,201.0,,0.027487562189054727,canales_only
39,Gjb6,201.0,,20.0,0.7619160381804475,0.027487562189054727,kalish_only
40,Spc25,21.0,0.0450849831482282,201.0,,0.026297085998578534,canales_only
41,Tfap2e,201.0,,21.0,0.7563962374720573,0.026297085998578534,kalish_only
42,Shox2,105.0,0.0294721088352005,24.0,0.7378836898156226,0.025595238095238095,both_streams
43,Ankrd37,22.0,0.0450542947925731,201.0,,0.025214834916327453,canales_only
44,Gjb2,201.0,,22.0,0.7519834650707176,0.025214834916327453,kalish_only
45,Igf2,201.0,,23.0,0.7414168493000046,0.024226692623837334,kalish_only
46,Cdca5,23.0,0.044115527700752,201.0,,0.024226692623837334,canales_only
47,Hells,24.0,0.0439677454374345,201.0,,0.023320895522388058,canales_only
48,Rmi2,25.0,0.0436793475307236,201.0,,0.022487562189054726,canales_only
49,Pf4,201.0,,25.0,0.708263457208285,0.022487562189054726,kalish_only
50,Ogn,201.0,,26.0,0.6942784505030444,0.021718331419823957,kalish_only
51,Gm2000,201.0,,27.0,0.688345999356369,0.021006080707573243,kalish_only
52,Esco2,27.0,0.0432443637674063,201.0,,0.021006080707573243,canales_only
53,Nhlh1,28.0,0.0420807249171215,201.0,,0.02034470504619758,canales_only
54,Acta1,201.0,,28.0,0.6832153560502036,0.02034470504619758,kalish_only
55,Gm13056,201.0,,29.0,0.6650714003697882,0.019728941499399553,kalish_only
56,Grem2,29.0,0.0420561852934276,201.0,,0.019728941499399553,canales_only
57,Slc24a5,201.0,,30.0,0.6640112546026687,0.019154228855721392,kalish_only
58,Kcne3,30.0,0.0420126145574279,201.0,,0.019154228855721392,canales_only
59,Spdl1,31.0,0.0412607102226419,201.0,,0.01861659444711924,canales_only
60,Kcne2,201.0,,31.0,0.6556329239057367,0.01861659444711924,kalish_only
61,Msx1,201.0,,32.0,0.6456115909567873,0.018112562189054725,kalish_only
62,Ncapg,32.0,0.0410707303770283,201.0,,0.018112562189054725,canales_only
63,Mir6935,33.0,0.0410565165430065,201.0,,0.017639077340569877,canales_only
64,Sdr9c7,201.0,,33.0,0.6421124826696855,0.017639077340569877,kalish_only
65,Lox,201.0,,34.0,0.6409426519575842,0.0171934445419959,kalish_only
66,Necab1,34.0,0.040948193116089,201.0,,0.0171934445419959,canales_only
67,Fbxo2,201.0,,35.0,0.6397003920658332,0.016773276474769012,kalish_only
68,Kif20a,35.0,0.0407716299677743,201.0,,0.016773276474769012,canales_only
69,Gpc3,201.0,,36.0,0.6374772684378557,0.016376451077943614,kalish_only
70,8430408G22Rik,36.0,0.0407309290520765,201.0,,0.016376451077943614,canales_only
71,Fam221b,201.0,,37.0,0.6343016057264438,0.01600107570256824,kalish_only
72,Ppp1r3g,37.0,0.0405401568193309,201.0,,0.01600107570256824,canales_only
73,Igkv6-25,201.0,,38.0,0.633619489945373,0.01564545692589683,kalish_only
74,Kif15,38.0,0.0389982785466633,201.0,,0.01564545692589683,canales_only
75,Islr,201.0,,39.0,0.6288133647893425,0.015308075009567546,kalish_only
76,Asf1b,39.0,0.0389203985451921,201.0,,0.015308075009567546,canales_only
77,Sostdc1,201.0,,40.0,0.6274727804764143,0.014987562189054726,kalish_only
78,Ttk,40.0,0.0384942509452036,201.0,,0.014987562189054726,canales_only
79,Fmod,149.0,0.0262831862697724,43.0,0.6220075925392217,0.014983611674730763,both_streams
80,Dbx1,41.0,0.038379780346809,201.0,,0.014682684140274238,canales_only
81,Lrrc23,201.0,,41.0,0.626213178272505,0.014682684140274238,kalish_only
82,Lgals1,201.0,,42.0,0.6233099897943163,0.01439232409381663,kalish_only
83,Ndc80,42.0,0.0377056183601394,201.0,,0.01439232409381663,canales_only
84,Kcnj2,43.0,0.0371732270635232,201.0,,0.014115469165798911,canales_only
85,Brca1,44.0,0.0369623430279184,201.0,,0.01385119855269109,canales_only
86,Cmbl,201.0,,44.0,0.6139436756476057,0.01385119855269109,kalish_only
87,Plk1,45.0,0.0365105151122336,201.0,,0.013598673300165839,canales_only
88,Clic6,201.0,,45.0,0.610379473488398,0.013598673300165839,kalish_only
89,Tbx18,201.0,,46.0,0.6070218427295377,0.01335712740644603,kalish_only
90,E330013P04Rik,46.0,0.0364770908391697,201.0,,0.01335712740644603,canales_only
91,Lyz2,201.0,,47.0,0.6005751733188726,0.013125860061395152,kalish_only
92,Esm1,47.0,0.0362027323610293,201.0,,0.013125860061395152,canales_only
93,Chek1,48.0,0.0360761124801429,201.0,,0.012904228855721393,canales_only
94,Osr1,201.0,,48.0,0.5992458330492957,0.012904228855721393,kalish_only
95,Dab2,201.0,,49.0,0.5905410196946846,0.012691643821707788,kalish_only
96,6330403A02Rik,49.0,0.0357194022368343,201.0,,0.012691643821707788,canales_only
97,Dhfr,50.0,0.0353562162610361,201.0,,0.012487562189054727,canales_only
98,Shcbp1,51.0,0.0352689893685156,201.0,,0.012291483757682176,canales_only
99,Syt13,201.0,,51.0,0.585151231970886,0.012291483757682176,kalish_only
100,Eme1,52.0,0.034724149638639,201.0,,0.012102946804439341,canales_only
