stream2_rank,gene_name,stream2_score,sex_specificity,n_cell_types_perturbed,n_cell_types_total,breadth,strongest_cell_type,total_cells
1,Ttr,2.181358997246514,both,0,0,none,unknown,622156
2,Ptgds,2.1446865019894075,both,0,0,none,unknown,622156
3,Mrc1,1.329530507230362,both,0,0,none,unknown,622156
4,Cldn11,1.255336535571303,both,0,0,none,unknown,622156
5,Erdr1,1.1659867236434245,both,0,0,none,unknown,622156
6,Lyve1,1.1108556616593983,both,0,0,none,unknown,622156
7,Dcn,1.070375453217894,both,0,0,none,unknown,622156
8,Slc22a6,1.0192025386271075,both,0,0,none,unknown,622156
9,Slc6a13,1.0155386236620405,both,0,0,none,unknown,622156
10,Col3a1,0.9756864655880293,both,0,0,none,unknown,622156
11,Mid1,0.9628141371411555,both,0,0,none,unknown,622156
12,Col1a2,0.93974773547871,both,0,0,none,unknown,622156
13,Col1a1,0.9252476803309928,both,0,0,none,unknown,622156
14,Aldh1a2,0.8500246555806936,male_only,0,0,none,unknown,622156
15,F13a1,0.8421055778665595,both,0,0,none,unknown,622156
16,Gm26870,0.8110415998525956,both,0,0,none,unknown,622156
17,Bmp4,0.7916808936457048,both,0,0,none,unknown,622156
18,Tcf7l2,0.7793391495902535,both,0,0,none,unknown,622156
19,Lum,0.7784455173601013,both,0,0,none,unknown,622156
20,Gjb6,0.7619160381804475,both,0,0,none,unknown,622156
21,Tfap2e,0.7563962374720573,both,0,0,none,unknown,622156
22,Gjb2,0.7519834650707176,male_only,0,0,none,unknown,622156
23,Igf2,0.7414168493000046,male_only,0,0,none,unknown,622156
24,Shox2,0.7378836898156226,both,0,0,none,unknown,622156
25,Pf4,0.708263457208285,male_only,0,0,none,unknown,622156
26,Ogn,0.6942784505030444,male_only,0,0,none,unknown,622156
27,Gm2000,0.688345999356369,both,0,0,none,unknown,622156
28,Acta1,0.6832153560502036,both,0,0,none,unknown,622156
29,Gm13056,0.6650714003697882,both,0,0,none,unknown,622156
30,Slc24a5,0.6640112546026687,both,0,0,none,unknown,622156
31,Kcne2,0.6556329239057367,both,0,0,none,unknown,622156
32,Msx1,0.6456115909567873,both,0,0,none,unknown,622156
33,Sdr9c7,0.6421124826696855,female_only,0,0,none,unknown,622156
34,Lox,0.6409426519575842,male_only,0,0,none,unknown,622156
35,Fbxo2,0.6397003920658332,both,0,0,none,unknown,622156
36,Gpc3,0.6374772684378557,both,0,0,none,unknown,622156
37,Fam221b,0.6343016057264438,both,0,0,none,unknown,622156
38,Igkv6-25,0.633619489945373,both,0,0,none,unknown,622156
39,Islr,0.6288133647893425,male_only,0,0,none,unknown,622156
40,Sostdc1,0.6274727804764143,both,0,0,none,unknown,622156
41,Lrrc23,0.626213178272505,both,0,0,none,unknown,622156
42,Lgals1,0.6233099897943163,male_only,0,0,none,unknown,622156
43,Fmod,0.6220075925392217,male_only,0,0,none,unknown,622156
44,Cmbl,0.6139436756476057,male_only,0,0,none,unknown,622156
45,Clic6,0.610379473488398,both,0,0,none,unknown,622156
46,Tbx18,0.6070218427295377,male_only,0,0,none,unknown,622156
47,Lyz2,0.6005751733188726,both,0,0,none,unknown,622156
48,Osr1,0.5992458330492957,male_only,0,0,none,unknown,622156
49,Dab2,0.5905410196946846,both,0,0,none,unknown,622156
50,Otx2,0.5851781148869057,both,0,0,none,unknown,622156
51,Syt13,0.585151231970886,both,0,0,none,unknown,622156
52,Col6a1,0.5762769448099406,both,0,0,none,unknown,622156
53,Cyp1a2,0.5760934758886903,both,0,0,none,unknown,622156
54,4930426D05Rik,0.5753519374882907,female_only,0,0,none,unknown,622156
55,2610042L04Rik,0.5723191344500655,both,0,0,none,unknown,622156
56,C1qb,0.570869006305634,both,0,0,none,unknown,622156
57,Dyrk1a,0.5701008680281957,male_only,0,0,none,unknown,622156
58,Gja1,0.568482702108805,both,0,0,none,unknown,622156
59,Wdr89,0.5672075175059742,both,0,0,none,unknown,622156
60,Isg15,0.5671595939269781,both,0,0,none,unknown,622156
61,C1qc,0.5627792553464164,both,0,0,none,unknown,622156
62,BC051077,0.5625597088314958,both,0,0,none,unknown,622156
63,Postn,0.5553860283359516,male_only,0,0,none,unknown,622156
64,Nat8f3,0.5538241031431098,both,0,0,none,unknown,622156
65,Fgf15,0.5526059076470969,male_only,0,0,none,unknown,622156
66,Gm17087,0.5524910940941222,both,0,0,none,unknown,622156
67,Dynlrb2,0.5515473726368938,both,0,0,none,unknown,622156
68,Bmp7,0.549411728545028,both,0,0,none,unknown,622156
69,Olfr648,0.5467006604033255,female_only,0,0,none,unknown,622156
70,Fcgrt,0.5459553735372324,both,0,0,none,unknown,622156
71,Col6a2,0.5437596550971768,male_only,0,0,none,unknown,622156
72,Lin54,0.5414437288825488,male_only,0,0,none,unknown,622156
73,Cyp1b1,0.541279400967036,male_only,0,0,none,unknown,622156
74,Foxc2,0.540609188416051,male_only,0,0,none,unknown,622156
75,Spp1,0.5386002287034534,male_only,0,0,none,unknown,622156
76,Gbx2,0.537745497887352,both,0,0,none,unknown,622156
77,Anxa2,0.5376862992886609,male_only,0,0,none,unknown,622156
78,E030030I06Rik,0.5371570501787148,both,0,0,none,unknown,622156
79,Lpar1,0.5357174957610756,male_only,0,0,none,unknown,622156
80,Aebp1,0.5355577346170589,both,0,0,none,unknown,622156
81,Fcer1g,0.5337568260069998,both,0,0,none,unknown,622156
82,Pcdhga12,0.5332841239525091,male_only,0,0,none,unknown,622156
83,Gm21750,0.5309430974115613,both,0,0,none,unknown,622156
84,Olig1,0.5264640464421313,both,0,0,none,unknown,622156
85,Rsph1,0.5213985568020273,both,0,0,none,unknown,622156
86,Fcgr3,0.5185001127478448,both,0,0,none,unknown,622156
87,Dio3,0.5169803483523234,male_only,0,0,none,unknown,622156
88,Mtm1,0.5160695784160776,both,0,0,none,unknown,622156
89,Apod,0.5097160737442631,male_only,0,0,none,unknown,622156
90,Gm26619,0.5083475450526074,both,0,0,none,unknown,622156
91,Pkib,0.5076340305557101,both,0,0,none,unknown,622156
92,Gm26774,0.5070978138470058,male_only,0,0,none,unknown,622156
93,Gm12088,0.5043239103114261,both,0,0,none,unknown,622156
94,Enpp2,0.5039758244955986,both,0,0,none,unknown,622156
95,Slc6a20a,0.5037280802620798,male_only,0,0,none,unknown,622156
96,Siglecf,0.5023551032833811,male_only,0,0,none,unknown,622156
97,Trim50,0.5014108439631073,both,0,0,none,unknown,622156
98,Nkx2-1,0.500293941020478,male_only,0,0,none,unknown,622156
99,1700012B09Rik,0.5002239174969506,both,0,0,none,unknown,622156
100,Col18a1,0.5001233382879,male_only,0,0,none,unknown,622156
101,Ly86,0.49997469146241086,both,0,0,none,unknown,622156
102,Irx1,0.4998584350731385,both,0,0,none,unknown,622156
103,Col13a1,0.4997424079475337,both,0,0,none,unknown,622156
104,Cd80,0.49888526970056746,male_only,0,0,none,unknown,622156
105,Foxa1,0.49876372583876144,female_only,0,0,none,unknown,622156
106,Cfap126,0.4985968726064436,female_only,0,0,none,unknown,622156
107,9930111J21Rik2,0.49794886170952174,male_only,0,0,none,unknown,622156
108,Gm16685,0.495579119510903,both,0,0,none,unknown,622156
109,Alms1,0.495297887757707,male_only,0,0,none,unknown,622156
110,Gm28826,0.4944268815799277,male_only,0,0,none,unknown,622156
111,Nup54,0.4937847869305513,both,0,0,none,unknown,622156
112,Fam175a,0.49283429690218367,both,0,0,none,unknown,622156
113,Kcnk6,0.49007951809182787,male_only,0,0,none,unknown,622156
114,Tagln,0.48958043387775235,male_only,0,0,none,unknown,622156
115,Sidt1,0.4893753499972461,male_only,0,0,none,unknown,622156
116,1500015O10Rik,0.4882239703598771,both,0,0,none,unknown,622156
117,Adtrp,0.48759718074076536,both,0,0,none,unknown,622156
118,Lrrc14b,0.48646043332654143,male_only,0,0,none,unknown,622156
119,A430073D23Rik,0.48640351601850357,both,0,0,none,unknown,622156
120,Pifo,0.4861763900283849,both,0,0,none,unknown,622156
121,Mme,0.4861159667703958,both,0,0,none,unknown,622156
122,Folr1,0.48591239078111415,both,0,0,none,unknown,622156
123,Gm26562,0.48576624146838315,both,0,0,none,unknown,622156
124,Gm12018,0.48506673465671574,both,0,0,none,unknown,622156
125,Gadd45b,0.48492526759067656,male_only,0,0,none,unknown,622156
126,Ctsk,0.4846756608734005,male_only,0,0,none,unknown,622156
127,Gm16014,0.4846582903304178,both,0,0,none,unknown,622156
128,Gm21319,0.48209368925500934,female_only,0,0,none,unknown,622156
129,Gm13684,0.48174851363703164,male_only,0,0,none,unknown,622156
130,Csf1r,0.48128829088509023,both,0,0,none,unknown,622156
131,Gm26830,0.47965058715941755,both,0,0,none,unknown,622156
132,Tnk1,0.4791071284282175,both,0,0,none,unknown,622156
133,Gm14540,0.4787006835123504,both,0,0,none,unknown,622156
134,Foxd1,0.4785832839619467,male_only,0,0,none,unknown,622156
135,Ttf1,0.4767483759887118,both,0,0,none,unknown,622156
136,Ms4a4b,0.47412504979809117,male_only,0,0,none,unknown,622156
137,9930111H07Rik,0.4724365649405326,both,0,0,none,unknown,622156
138,Gm12324,0.47070891443732366,female_only,0,0,none,unknown,622156
139,D130052B06Rik,0.47049777897097017,male_only,0,0,none,unknown,622156
140,1700073E17Rik,0.4703094133939306,both,0,0,none,unknown,622156
141,Gm44756,0.4695139922409124,male_only,0,0,none,unknown,622156
142,Gm2155,0.4688632696426368,male_only,0,0,none,unknown,622156
143,Maz,0.46760315435242,both,0,0,none,unknown,622156
144,Ms4a6c,0.4674541064072611,male_only,0,0,none,unknown,622156
145,Vtn,0.46528315042532165,male_only,0,0,none,unknown,622156
146,Gm16548,0.4640277832677109,female_only,0,0,none,unknown,622156
147,Ecel1,0.4636777017890966,male_only,0,0,none,unknown,622156
148,Gal3st1,0.4636443948425562,both,0,0,none,unknown,622156
149,Dtnbos,0.46222702312134767,male_only,0,0,none,unknown,622156
150,H2-Q4,0.46161315205001924,male_only,0,0,none,unknown,622156
151,Llgl2,0.45998681124103014,female_only,0,0,none,unknown,622156
152,Hbb-y,0.45854217458050045,female_only,0,0,none,unknown,622156
153,Gm10687,0.4581727900687789,male_only,0,0,none,unknown,622156
154,Adam26b,0.4580043270403028,male_only,0,0,none,unknown,622156
155,Adamts13,0.45787855145724504,male_only,0,0,none,unknown,622156
156,Adra1a,0.4573013147175922,both,0,0,none,unknown,622156
157,Csf3r,0.456099582905622,both,0,0,none,unknown,622156
158,Olfr1390,0.45533140119167065,female_only,0,0,none,unknown,622156
159,Nupr1,0.4536850407758965,male_only,0,0,none,unknown,622156
160,Gm44271,0.45230501389805067,male_only,0,0,none,unknown,622156
161,Cldn18,0.45220507562133483,female_only,0,0,none,unknown,622156
162,Ctf2,0.4514738568392896,male_only,0,0,none,unknown,622156
163,Acrv1,0.45121141775827245,female_only,0,0,none,unknown,622156
164,Ifi204,0.4508123437773438,male_only,0,0,none,unknown,622156
165,Acta2,0.4497862165013714,male_only,0,0,none,unknown,622156
166,A330044P14Rik,0.44962274631429106,male_only,0,0,none,unknown,622156
167,Gm17494,0.44892924768877884,both,0,0,none,unknown,622156
168,Gm13986,0.44849973811633764,female_only,0,0,none,unknown,622156
169,Tigd4,0.4480011004298205,male_only,0,0,none,unknown,622156
170,2010109I03Rik,0.44798039183350646,neither,0,0,none,unknown,622156
171,Gm27048,0.44782879959587385,female_only,0,0,none,unknown,622156
172,4632427E13Rik,0.4476217613972074,male_only,0,0,none,unknown,622156
173,Ifitm1,0.44752205180733456,male_only,0,0,none,unknown,622156
174,Ppt2,0.44672415931452625,both,0,0,none,unknown,622156
175,Plcd4,0.44633775267682546,both,0,0,none,unknown,622156
176,Arl4d,0.4444763276495877,both,0,0,none,unknown,622156
177,B430218F22Rik,0.44433744778183915,male_only,0,0,none,unknown,622156
178,Slc39a12,0.44382542195848246,both,0,0,none,unknown,622156
179,Umodl1,0.443649274272013,female_only,0,0,none,unknown,622156
180,Samhd1,0.4433851277942174,female_only,0,0,none,unknown,622156
181,Gm14963,0.4431229429394519,female_only,0,0,none,unknown,622156
182,Gm17227,0.44297696622330535,both,0,0,none,unknown,622156
183,Crabp1,0.44128660755394733,male_only,0,0,none,unknown,622156
184,Myo6,0.44058072757395356,neither,0,0,none,unknown,622156
185,Fos,0.44043342609695485,both,0,0,none,unknown,622156
186,Edil3,0.44012919382547755,male_only,0,0,none,unknown,622156
187,Pdgfrl,0.43988314613751284,female_only,0,0,none,unknown,622156
188,Pou5f2,0.43987883985248666,male_only,0,0,none,unknown,622156
189,Gm7609,0.4394584278867286,male_only,0,0,none,unknown,622156
190,Mfsd4a,0.439265309082904,male_only,0,0,none,unknown,622156
191,Gm13613,0.43866167735355077,male_only,0,0,none,unknown,622156
192,Sepw1,0.43855517161873936,male_only,0,0,none,unknown,622156
193,Nkain3,0.43775865029790545,male_only,0,0,none,unknown,622156
194,Tmprss11a,0.43736661047123776,both,0,0,none,unknown,622156
195,Gm21897,0.4364173192673193,both,0,0,none,unknown,622156
196,Tmprss11b,0.4363686117977584,male_only,0,0,none,unknown,622156
197,Hsd3b2,0.43627241449263066,male_only,0,0,none,unknown,622156
198,AY074887,0.43616424647900737,neither,0,0,none,unknown,622156
199,Vmn1r58,0.43561106954259027,male_only,0,0,none,unknown,622156
200,Gm26510,0.43370772512670136,female_only,0,0,none,unknown,622156
